Fiscal Year,Contracting Agency ID,Contracting Agency Name,Product or Service Code,Product or Service Description,Base and Exercised Options Value,Base and All Options Value (Total Contract Value),Non Government Dollars,Dollars Obligated,Number of Actions,Number of Records
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"$8,209,869.00 ","$8,209,869.00 ",$0.00 ,"$8,209,869.00 ",4 ,4 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","$6,486,593.63 ","$6,486,593.63 ",$0.00 ,"$6,486,593.63 ",17 ,17 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,J058,"MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","$9,987,955.00 ","$9,987,955.00 ",$0.00 ,"$9,987,955.00 ",1 ,1 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$18,727,655.67 ","$18,727,655.67 ","$433,157.00 ","$18,727,655.67 ",17 ,17 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,"$10,106,747.00 ","$10,106,747.00 ",$0.00 ,"$10,106,747.00 ",34 ,34 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2012,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,SUPPORT- PROFESSIONAL: OTHER,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"$81,170,617.05 ","$81,109,361.05 ","$144,865.24 ","$81,098,374.90 ",388 ,388 
2012,2100,DEPT OF THE ARMY,R799,SUPPORT- MANAGEMENT: OTHER,"$1,020,957.00 ","$1,170,331.00 ",$0.00 ,"$1,020,957.00 ",11 ,11 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$767,384.00 ","$1,840,072.00 ",$0.00 ,"$767,384.00 ",13 ,13 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,X125,LEASE/RENTAL OF AIRPORT TERMINALS,$23.00 ,$0.00 ,$0.00 ,$23.00 ,1 ,1 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BE,LEASE/RENTAL OF AIRPORT TERMINALS,"$28,031.50 ","$92,501.50 ",$0.00 ,"$28,031.50 ",5 ,5 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1PZ,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,"$60,311.00 ","$64,110.00 ",$0.00 ,"$60,311.00 ",1 ,1 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,5 ,5 
2012,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,"$26,000,774.00 ","$26,000,774.00 ",$0.00 ,"$26,000,774.00 ",5 ,5 
2013,2100,DEPT OF THE ARMY,1550,UNMANNED AIRCRAFT,"$16,000,000.00 ","$16,000,000.00 ",$0.00 ,"$12,000,000.00 ",10 ,10 
2013,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$1,270,461.00 ","$1,270,461.00 ",$0.00 ,"$1,270,461.00 ",3 ,3 
2013,7001,OFFICE OF PROCUREMENT OPERATIONS,6120,TRANSFORMERS: DISTRIBUTION AND POWER STATION,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$6,440,827.00 ","$6,440,827.00 ",$0.00 ,"$6,440,827.00 ",6 ,6 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,6710,"CAMERAS, MOTION PICTURE","$830,958.88 ","$830,958.88 ",$0.00 ,"$830,958.88 ",2 ,2 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,7435,OFFICE INFORMATION SYSTEM EQUIPMENT,"$2,435.00 ","$2,435.00 ","$2,435.00 ","$2,435.00 ",1 ,1 
2013,2100,DEPT OF THE ARMY,A,RESEARCH AND DEVELOPMENT,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2013,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$290,994,010.60 ","$222,634,272.72 ",$0.00 ,"$285,893,757.01 ",64 ,64 
2013,1700,DEPT OF THE NAVY,AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),"$1,087,637.00 ","$1,137,637.00 ",$0.00 ,"$1,087,637.00 ",3 ,3 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,AD64,R&D- DEFENSE OTHER: CONSTRUCTION (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2013,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$3,903,539.00 ",4 ,4 
2013,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$2,337,928.00 ","$2,337,928.00 ","$228,078.00 ","$7,139,733.88 ",3 ,3 
2013,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$11,855,538.00 ","($860,987.00)","$1,992,369.00 ","$17,203,593.00 ",47 ,47 
2013,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$2,631,262.00 ","$2,800,649.00 ","$474,839.00 ","$2,631,262.00 ",4 ,4 
2013,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$5,111,741.21 ","$5,111,741.21 ",$0.00 ,"$5,611,741.21 ",15 ,15 
2013,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$2,180,081.00 ","$936,798.00 ",$0.00 ,"$2,180,081.00 ",7 ,7 
2013,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"$228,000.00 ","$228,000.00 ",$0.00 ,"$228,000.00 ",2 ,2 
2013,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$34,125,624.41 ","$34,125,624.41 ",$0.00 ,"$10,127,125.41 ",5 ,5 
2013,2100,DEPT OF THE ARMY,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$12,078,054.00 ","$12,078,054.00 ","$1,634,760.00 ",$0.00 ,3 ,3 
2013,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$8,447,512.00 ","$8,447,512.00 ",$0.00 ,"$400,000.00 ",1 ,1 
2013,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"($524,032.99)","($524,032.99)",$0.00 ,"($524,032.99)",3 ,3 
2013,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$615,535.63 ","$615,535.63 ",$0.00 ,"$615,535.63 ",1 ,1 
2013,2100,DEPT OF THE ARMY,AZ17,R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"$614,447,104.10 ","$614,447,284.10 ","$9,676,927.00 ","$614,377,418.10 ",68 ,68 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","$713,459.66 ","$713,459.66 ",$0.00 ,"$713,459.66 ",22 ,22 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,$0.00 ,$0.00 ,$0.00 ,$0.00 ,36 ,36 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION,"$240,000.00 ","$240,000.00 ",$0.00 ,"$240,000.00 ",1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$460,964.00 ","$460,964.00 ",$0.00 ,"$244,386.00 ",14 ,14 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,"$32,177,046.11 ","$32,177,046.11 ",$0.00 ,"$24,829,033.69 ",26 ,26 
2013,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,($1.00),($1.00),$0.00 ,($1.00),1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,"$492,720.00 ","$492,720.00 ",$0.00 ,"$492,720.00 ",1 ,1 
2013,7001,OFFICE OF PROCUREMENT OPERATIONS,R499,SUPPORT- PROFESSIONAL: OTHER,"$21,047,062.72 ","$21,047,062.72 ",$0.00 ,($784.28),2 ,2 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"($122,382.89)","($122,382.89)","$26,350.12 ","($122,382.89)",9 ,9 
2013,2100,DEPT OF THE ARMY,R799,SUPPORT- MANAGEMENT: OTHER,"$622,432.00 ","$622,432.00 ",$0.00 ,"$622,432.00 ",4 ,4 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,S112,UTILITIES- ELECTRIC,"$3,533,007.60 ","$3,533,007.60 ",$0.00 ,"$3,533,007.60 ",32 ,32 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,"$247,814.47 ","$247,814.47 ",$0.00 ,"$247,814.47 ",6 ,6 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$52,467,839.25 ","$77,692,553.45 ","$17,444,077.65 ","$48,252,225.25 ",355 ,355 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,S211,HOUSEKEEPING- SURVEILLANCE,"$6,915,485.06 ","$6,915,485.06 ","$1,587,081.40 ","$6,915,485.06 ",4 ,4 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,X125,LEASE/RENTAL OF AIRPORT TERMINALS,$23.00 ,$0.00 ,$0.00 ,$23.00 ,1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BE,LEASE/RENTAL OF AIRPORT TERMINALS,"$46,868.73 ","$31,375.23 ",$0.00 ,"$46,868.73 ",5 ,5 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1LZ,LEASE/RENTAL OF PARKING FACILITIES,"$198,000.00 ","$198,000.00 ",$0.00 ,"$198,000.00 ",1 ,1 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$82,434,222.00 ","$82,434,222.00 ",$0.00 ,"$82,434,222.00 ",6 ,6 
2013,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,"$55,659,211.04 ","$55,659,211.04 ","$10,292,847.54 ","$55,659,211.04 ",9 ,9 
2014,2100,DEPT OF THE ARMY,1550,UNMANNED AIRCRAFT,"($9,356,382.00)","($9,356,382.00)",$0.00 ,"($2,456,382.00)",2 ,2 
2014,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$1,136,000.00 ","$1,136,000.00 ",$0.00 ,"$1,136,000.00 ",5 ,5 
2014,7001,OFFICE OF PROCUREMENT OPERATIONS,6120,TRANSFORMERS: DISTRIBUTION AND POWER STATION,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($971,580.24)","($971,580.24)",$0.00 ,"($971,580.24)",3 ,3 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,7435,OFFICE INFORMATION SYSTEM EQUIPMENT,"$12,881.16 ","$12,881.16 ","$12,881.16 ","$12,881.16 ",2 ,2 
2014,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$446,685,336.90 ","$838,122,129.15 ",$0.00 ,"$446,685,336.90 ",103 ,103 
2014,1700,DEPT OF THE NAVY,AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2014,2100,DEPT OF THE ARMY,AD14,R&D- DEFENSE OTHER: AMMUNITION (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2014,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$4,636,181.00 ",2 ,2 
2014,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$3,435,642.00 ","$40,093,276.00 ","$794,993.00 ","$7,801,534.00 ",2 ,2 
2014,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$15,975,305.00 ","$11,783,559.00 ",$0.00 ,"$15,187,595.00 ",32 ,32 
2014,1700,DEPT OF THE NAVY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$13,878,209.00 ","$15,316,416.00 ","$5,633,180.00 ","$2,694,831.00 ",2 ,2 
2014,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$24,394,695.00 ","$29,145,066.00 ","$17,253,079.00 ","$24,394,695.00 ",22 ,22 
2014,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$20,739,184.70 ","$720,508,292.70 ",$0.00 ,"$20,739,184.70 ",29 ,29 
2014,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$762,568.00 ","$762,556.00 ",$0.00 ,"$762,568.00 ",6 ,6 
2014,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD96,R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT),"$504,723.00 ","$999,995.00 ",$0.00 ,"$504,723.00 ",2 ,2 
2014,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"$3,550,000.00 ","$3,550,000.00 ",$0.00 ,"$3,550,000.00 ",2 ,2 
2014,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,466,407.00 ","$1,466,407.00 ",$0.00 ,"$1,466,407.00 ",1 ,1 
2014,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$399,999.00 ","$100,000,000.00 ",$0.00 ,"$399,999.00 ",2 ,2 
2014,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$557,172.00 ","$557,172.00 ",$0.00 ,"$493,297.00 ",4 ,4 
2014,2100,DEPT OF THE ARMY,AZ17,R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,B599,SPECIAL STUDIES/ANALYSIS- OTHER,"$1,500,000.00 ","$1,500,000.00 ",$0.00 ,"$1,500,000.00 ",1 ,1 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,5 ,5 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"$2,415,249.29 ","$2,415,249.29 ",$0.00 ,"$2,415,249.29 ",24 ,24 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($2,946,618.11)","($2,946,618.11)",$0.00 ,"($2,946,618.11)",13 ,13 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,"($2,201,280.42)","($2,201,280.42)",$0.00 ,"($2,201,280.42)",22 ,22 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($352,713.92)","($352,713.92)",$0.00 ,"($352,713.92)",15 ,15 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,"$4,501,909.40 ","$4,501,909.40 ",$0.00 ,"$464,223.40 ",11 ,11 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,"$723,924.00 ","$723,924.00 ",$0.00 ,"$723,924.00 ",1 ,1 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"($7,066.95)","$76,065,715.39 ",($0.01),"$306,992.49 ",79 ,79 
2014,2100,DEPT OF THE ARMY,R799,SUPPORT- MANAGEMENT: OTHER,"$579,522.00 ","$579,522.00 ",$0.00 ,"$579,522.00 ",7 ,7 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,S112,UTILITIES- ELECTRIC,"$9,974,180.57 ","$9,974,180.57 ",$0.00 ,"$9,974,180.57 ",81 ,81 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,"$325,578.29 ","$325,578.29 ",$0.00 ,"$325,578.29 ",8 ,8 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$42,610,729.49 ","$43,134,679.49 ",$0.00 ,"$42,594,439.49 ",309 ,309 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,S211,HOUSEKEEPING- SURVEILLANCE,"$7,387,789.00 ","$7,387,789.00 ",$0.00 ,"$7,387,789.00 ",2 ,2 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,X125,LEASE/RENTAL OF AIRPORT TERMINALS,$23.00 ,$0.00 ,$0.00 ,$23.00 ,1 ,1 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BE,LEASE/RENTAL OF AIRPORT TERMINALS,"$21,088.50 ","$4,815.00 ",$0.00 ,"$21,088.50 ",5 ,5 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BZ,LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES,"$136,797.79 ","$139,462.27 ",$0.00 ,"$136,797.79 ",1 ,1 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1LZ,LEASE/RENTAL OF PARKING FACILITIES,"$622,456.00 ","$622,456.00 ",$0.00 ,"$622,456.00 ",6 ,6 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$20,075,131.00 ","$20,075,131.00 ",$0.00 ,"$20,075,131.00 ",7 ,7 
2014,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2015,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1310,"AMMUNITION, OVER 30MM UP TO 75MM","$859,295.89 ","$859,295.89 ",$0.00 ,"$859,295.89 ",4 ,4 
2015,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$1,118,000.00 ","$1,118,000.00 ",$0.00 ,"$1,118,000.00 ",4 ,4 
2015,7001,OFFICE OF PROCUREMENT OPERATIONS,6120,TRANSFORMERS: DISTRIBUTION AND POWER STATION,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$3,834,000.00 ","$3,834,000.00 ",$0.00 ,"$3,834,000.00 ",2 ,2 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,6710,"CAMERAS, MOTION PICTURE","$787,391.00 ","$787,391.00 ",$0.00 ,"$787,391.00 ",2 ,2 
2015,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$500,789,364.93 ","$254,824,114.55 ",$0.00 ,"$500,789,364.93 ",125 ,125 
2015,1700,DEPT OF THE NAVY,AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2015,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$11,516,150.00 ","$16,522,829.00 ",$0.00 ,"$11,012,377.00 ",5 ,5 
2015,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$984,873.00 ","$984,873.00 ",$0.00 ,"$4,993,631.00 ",2 ,2 
2015,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,385,634.00 ",$0.00 ,$0.00 ,"$500,000.00 ",4 ,4 
2015,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$36,519,883.00 ","$59,131,988.00 ","$10,897,596.00 ","$33,376,638.00 ",29 ,29 
2015,1700,DEPT OF THE NAVY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$2,316,363.00 ",3 ,3 
2015,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$19,154,678.00 ","$16,241,843.00 ","$2,173,448.00 ","$16,650,486.00 ",15 ,15 
2015,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$85,786,554.62 ","$85,551,936.62 ",$0.00 ,"$85,786,554.62 ",58 ,58 
2015,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$1,924,116.00 ","$2,726,441.00 ",$0.00 ,"$1,372,278.00 ",4 ,4 
2015,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD96,R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT),"$495,272.00 ","$499,989.00 ",$0.00 ,"$495,272.00 ",2 ,2 
2015,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"$5,397,575.00 ","$5,397,575.00 ",$0.00 ,"$5,397,575.00 ",5 ,5 
2015,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
